regiao,munic,roubo_veiculo,populacao,flag
Baixada Fluminense,Belford Roxo,24731,518384.0,mais
Baixada Fluminense,Duque de Caxias,69024,866225.0,mais
Baixada Fluminense,Itaguaí,4042,124021.0,mais
Baixada Fluminense,Japeri,1175,102171.0,mais
Baixada Fluminense,Magé,3650,244142.0,mais
Baixada Fluminense,Mesquita,8493,178830.0,mais
Baixada Fluminense,Nilópolis,12481,155500.0,mais
Baixada Fluminense,Nova Iguaçu,43631,843220.0,mais
Baixada Fluminense,Queimados,2416,149135.0,mais
Baixada Fluminense,Seropédica,1951,84794.0,mais
Baixada Fluminense,São João de Meriti,32584,466503.0,mais
Capital,Rio de Janeiro,398734,6730729.0,mais
Grande Niterói,Maricá,2763,212470.0,mais
Grande Niterói,Niterói,22254,516787.0,mais
Grande Niterói,São Gonçalo,56343,960196.0,mais
Interior,Araruama,1299,137906.0,mais
Interior,Cabo Frio,1408,238438.0,mais
Interior,Campos dos Goytacazes,3146,519259.0,mais
Interior,Itaboraí,6436,240127.0,mais
Interior,Itaboraí;Tanguá,1722,,mais
Interior,Macaé,3295,264439.0,mais
Interior,Rio das Ostras,1954,168455.0,mais
Interior,Volta Redonda,1032,279971.0,mais
Interior,Bom Jardim,21,39289.0,menos
Interior,Bom Jesus de Itabapoana,20,,menos
Interior,Cambuci,9,15069.0,menos
Interior,Campos dos Goytacazes;São Francisco de Itabapoana,31,,menos
Interior,Cardoso Moreira;Italva,27,,menos
Interior,Cordeiro;Macuco,21,,menos
Interior,Duas Barras,13,11355.0,menos
Interior,Engenheiro Paulo de Frontin,17,12644.0,menos
Interior,Itaocara,24,23645.0,menos
Interior,Itaperuna;São José de Ubá;Cardoso Moreira;Italva,25,,menos
Interior,Laje do Muriaé,2,7584.0,menos
Interior,Mendes,23,18048.0,menos
Interior,Miguel Pereira;Paty dos Alferes,43,,menos
Interior,Miracema,6,28416.0,menos
Interior,Natividade;Varre-Sai,7,,menos
Interior,Pinheiral,43,25096.0,menos
Interior,Porciúncula,7,17832.0,menos
Interior,Rio das Flores,8,9267.0,menos
Interior,Santa Maria Madalena,47,10580.0,menos
Interior,Sumidouro,39,15693.0,menos
Interior,São José do Vale do Rio Preto,20,22813.0,menos
Interior,São Sebastião do Alto,29,7993.0,menos
Interior,Trajano de Morais,21,,menos
